"Code","Name","Latitude","Longitude","tLUTJavg","tLUTJstd","tSERRavg","tSERRstd","tCARAavg","tCARAstd","tSPHYavg","tSPHYstd","tHAEMavg","tHAEMstd","YEAR","tCommBiomass","Reef Type","Depth"
"BZ1045","Glover’s Reef Southwest",16.72,-87.8387,220.06004083335,172.43186705268,183.38516220863,320.53293442317,173.37486424877,122.594542197602,0,0,1211.7247963595,1366.6627701004,"2023",1788.54486365025,"Atoll",NA
"BZ1045","Glovers Reef Southwest",16.72,-87.8387,203,310,114,357,1,3,0,0,28,51,"2021",346,NA,6.2
"BZ1047","Glover’s Reef",16.7705,-87.8716,576.42723529082,1032.0782972156,493.26379309985,886.75712103732,11.015361035213,7.78903648521718,0,0,805.94385712718,1303.650784641,"2023",1886.65024655306,"Atoll",NA
"BZ1049","Glovers Reef",16.7841,-87.75241,864,899,49,155,27,80,0,0,133,172,"2021",1073,NA,4.6
"BZ1049","Glovers Reef, Glovers Reef",16.7841,-87.7524,409.39069555372,599.10309781671,46.928972980129,115.53764888939,0,0,0,0,293.95349267913,400.95324140673,"2023",750.273161212979,"Atoll",NA
"BZ1050","Glover's Northeast",16.88532,-87.70304,0,0,71,226,0,0,0,0,29,40,"2018",100,NA,9.9
"BZ1050","Glover's Reef Northeast",16.8853,-87.703,152.79626962288,301.02645531018,157.49768571302,305.93356623958,0,0,132.6964894597,398.08946837911,215.0176672202,351.09195318835,"2023",658.0081120158,"Atoll",NA
"BZ1050","Glover's Reef Northeast",16.88532,-87.70304,75,123,2,4,0,0,0,0,87,189,"2021",164,NA,7.5
"BZ1052","Glover's Reef Northwest",16.8856,-87.8102,210,322,48,65,2,4,0,0,70,126,"2021",330,NA,5.4
"BZ1052","Glover's Reef Northwest(east)",16.8856,-87.8102,855.3368298384,1637.8221964327,784.81998709501,1081.0705630876,95.319528921573,67.4010852799515,0,0,48.715256075274,109.6356885768,"2023",1784.19160193026,"Atoll",NA
"BZ1055",NA,17.132,-87.603,201,600,0,0,62,194,0,0,71,62,"2018",334,NA,6.4
"BZ1062","1062DFR",17.2603,-87.961,246.48336960539,561.96102309212,53.354006309493,120.19042677576,0,0,0,0,101.80545902307,143.69238180371,"2023",401.642834937953,"Atoll",NA
"BZ1063","Lighthouse",17.3513,-87.482,67,213,129,339,540,866,498,1574,524,679,"2018",1758,NA,11.7
"BZ1064","Paranga Grounding",17.3185,-88.0425,281.83688103995,306.11511017432,4.3988716361489,13.196614908447,343.424368464143,226.441245051455,0,0,359.7164536138,415.56924774865,"2023",989.376574754042,"Barrier",NA
"BZ1064","Paranga Grounding Site",17.31848,-88.0425,279,320,45,138,176,412,0,0,52,74,"2021",552,NA,4.3
"BZ1070","North Gallows",17.4882,-88.04193,103,189,65,138,6,20,0,0,366,294,"2021",540,NA,3.5
"BZ1077","Coral Gardens",17.8193,-87.9869,393.08508884996,626.98372115135,0,0,0,0,0,0,91.524377077461,165.13235356716,"2023",484.609465927421,"Barrier",NA
"BZ1077","Coral Gardens",17.81931,-87.98686,332,458,0,0,0,0,0,0,90,188,"2021",422,NA,6.6
"BZ1079","Tres Cocos",17.93406,-87.93876,150,474,11,36,0,0,0,0,1374,4084,"2021",1535,NA,7.7
"BZ1079","Tres Cocos",17.9341,-87.9388,423.71032906459,719.55920252239,0,0,0,0,0,0,1064.5175231829,3158.0816406033,"2023",1488.22785224749,"Barrier",NA
"BZ1080","Basil Jones",18.08799,-87.86372,207,398,2,5,171,498,0,0,330,460,"2021",710,NA,6.5
"BZ1080","Basil Jones",18.088,-87.8637,747.06984138593,920.95991089964,110.6550942661,156.52759363398,111.76166740619,79.0274328996325,0,0,680.66943284808,374.53944483292,"2023",1650.1560359063,"Barrier",NA
"BZ1081","North of Alleys",18.17546,-87.828,480,1181,0,0,0,0,205,649,120,161,"2021",805,NA,7.8
"BZ1098","Traps Caye",16.4953,-88.1685,348.82894511683,418.18600363785,93.857945960258,169.60320706188,0,0,0,0,284.06316646963,528.38151156513,"2023",726.750057546718,"Lagoonal",NA
"BZ1098","Traps Caye, Moho",16.4953,-88.1685,17,37,28,63,10,31,0,0,36,87,"2021",91,NA,5.9
"BZ1100","Baker Caye",16.5509,-88.1996,34,106,0,0,0,0,0,0,40,54,"2021",74,NA,2.8
"BZ1100","Baker Caye",16.5509,-88.1996,232.22244535257,344.70179761273,0,0,496.81179452849,351.298988884553,0,0,381.04796087434,350.63124129151,"2023",1110.0822007554,"Bank",NA
"BZ1103","NE Range",16.6584,-88.0956,559.98318938503,707.0978055413,0,0,71.563561919063,50.6030799188328,0,0,370.11475259107,296.53576313787,"2023",1001.66150389516,"Bank",NA
"BZ1104","North of Middle Caye",16.75118,-87.8214,286,510,0,0,3,8,0,0,550,747,"2018",839,NA,1.5
"BZ1104","North of Middle Caye",16.75118,-87.82139,564,1296,0,0,6,20,0,0,484,1027,"2021",1054,NA,2.7
"BZ1104","North of Middle Caye",16.7512,-87.8214,1557.9992455596,1872.9511767006,85.12331071043,255.36993213129,0,0,0,0,2109.0934900725,4938.1060072456,"2023",3752.21604634253,"Atoll",NA
"BZ1105","South Water  Caye Reef",16.7365,-88.1485,92.153535432637,163.29179852947,0,0,226.21232030484,159.956265675496,0,0,193.55685195684,369.22314204527,"2023",511.922707694317,"Bank",NA
"BZ1106","Southwest Glover’s Patch",16.7434,-87.8508,429.78675578616,694.83259690618,52.733037589562,129.31359097854,186.26944567699,131.712388166059,0,0,1279.7404447314,1964.9830029801,"2023",1948.52968378411,"Atoll",NA
"BZ1106","Southwest Glovers Patch",16.74339,-87.85077,578,1267,0,0,0,0,0,0,15,47,"2021",593,NA,1.9
"BZ1109","Glover's North inner patch",16.88644,-87.78005,104,330,0,0,0,0,0,0,196,402,"2018",300,NA,1.3
"BZ1109","Glover's North Inner Patch",16.8864,-87.7801,0,0,31.031272616373,93.09381784912,0,0,0,0,1769.5750947982,3297.4009863743,"2023",1800.60636741457,"Atoll",NA
"BZ1109","Glover's North Inner Patch",16.88644,-87.78005,0,0,0,0,0,0,0,0,46,115,"2021",46,NA,1.2
"BZ1112","Rendezvous",17.2451,-88.0522,275.07187810491,443.34683223863,312.05325633279,584.28747029228,15.595305810757,11.0275464934642,0,0,214.13594213481,191.71039207159,"2023",816.856382383267,"Barrier",NA
"BZ1112","Rendezvous Caye Patch",17.24508,-88.05223,32,51,4,8,0,0,0,0,66,78,"2021",102,NA,5.9
"BZ1112","Rendezvous Caye Patch",17.24508,-88.05223,336,420,9,30,56,118,0,0,806,951,"2018",1207,NA,8.8
"BZ1118","Robinson area flats",17.3524,-88.1501,448.72648862139,860.64800201863,33.395098863421,45.042752619643,362.68950706778,256.460209912834,314.2057879241,526.56318933521,1722.9814874547,2725.2158535602,"2023",2881.99836993139,"Lagoonal",NA
"BZ1124","Nothing Special",16.1548,-88.3299,423.88237775858,812.54276227881,64.835924405635,113.00715600355,0,0,0,0,108.65556404235,299.22212822976,"2023",597.373866206565,"Barrier",NA
"BZ1124","Southwest of Seal Caye",16.1548,-88.3729,0,0,3,10,0,0,0,0,25,40,"2021",28,NA,8
"BZ1124","Southwest of Seal Caye",16.1548,-88.3729,1005,1070,0,0,69,165,0,0,293,694,"2018",1367,NA,10.3
"BZ1128","East of Water Caye",17.385,-88.04222,73,231,37,75,62,198,0,0,483,799,"2021",655,NA,2.4
"BZ1128","Spanish Bay",17.3883,-88.0456,268.57463723167,494.6347325662,8.3985741529233,25.19572245877,74.507778270795,52.6849552664228,0,0,901.46544184266,1159.4451273543,"2023",1252.94643149805,"Barrier",NA
"BZ1130","Rise & Fall",16.0682,-88.3011,1058.5273837431,1190.6330207662,622.5904394442,1216.2382349308,0,0,0,0,0,0,"2023",1681.1178231873,"Bank",NA
"BZ1149","Seal Caye",16.1237,-88.3787,597.8442858909,1259.7672375015,135.85081672487,178.71589184169,0,0,0,0,248.5164828942,347.92988756533,"2023",982.21158550997,"Barrier",NA
"BZ1149","Southwest of Seal Caye",16.12373,-88.37861,93,201,24,48,60,126,0,0,350,594,"2021",527,NA,8.3
"BZ1177","Bugle's Caye",16.4903,-88.3236,235,378,0,0,155,395,0,0,842,1479,"2021",1232,NA,2.7
"BZ1177","Bugle's Caye",16.4903,-88.3236,1341.323781659,2287.923216198,0,0,1.2189714196485,0.861942956906047,0,0,1212.2927746547,873.32766273662,"2023",2554.83552773335,"Lagoonal",NA
"BZ1178","NA,NA",16.4563,-88.2097,251.73337065482,283.36905829027,38.530398827206,115.59119648162,343.09672783665,242.606022856211,523.46759071072,1570.4027721322,83.347625956141,147.62223651382,"2023",1240.17571398554,"Lagoonal",NA
"BZ1178","West of Laughing Bird Caye",16.4563,-88.2097,290,776,9,30,0,0,0,0,9,28,"2021",308,NA,6.5
"BZ1186","False Caye",16.6034,-88.3342,92.718255189303,227.26522509598,0,0,0,0,0,0,522.32651972134,762.53126838227,"2023",615.044774910643,"Lagoonal",NA
"BZ1192","Wee Wee Cay",16.7574,-88.1442,801.95267989249,1886.5098415213,0,0,91.612805811341,64.7800362327256,0,0,324.48230146068,303.1156962855,"2023",1218.04778716451,"Bank",NA
"BZ1215","Robinson Point Caye",17.3568,-88.1709,237.25009876404,379.20865993037,16.589506794739,28.582745606146,311.94188400562,220.576221516481,0,0,183.43694781272,382.54838309886,"2023",749.218437377119,"Lagoonal",NA
"BZ1229","BZ1229",17.6876,-88.0161,307.69737770236,323.87097478995,174.58510870709,194.37325858601,9.5304646621292,6.73905619045032,0,0,1118.5897306093,789.62694469021,"2023",1610.40268168088,"Barrier",NA
"BZ1229","Caye Chapel",17.68764,-88.01608,0,0,2,5,176,471,0,0,309,359,"2021",487,NA,1.8
"BZ1230","North of Caye Caulker Marine Reserve",17.7996,-87.9954,59.140082662124,116.21844781748,46.928972980129,115.53764888939,25.732254587749,18.195451714216,354.44863557565,1063.345906727,182.25241993625,174.08312487398,"2023",668.502365741902,"Barrier",NA
"BZ1230","North of Caye Caulker MR",17.79961,-87.99541,21,67,2,5,34,89,0,0,268,431,"2021",325,NA,2.3
"BZ1231","North of Hol Chan Marine Reserve",17.8817,-87.9695,1865.9404546161,3338.6020939476,0,0,1.2189714196485,0.861942956906047,0,0,1901.167453807,2853.6208203571,"2023",3768.32687984275,"Barrier",NA
"BZ1231","North of Hol Chan MR",17.8817,-87.96947,9,28,0,0,119,203,0,0,514,1231,"2021",642,NA,1.3
"BZ1234","North of Mexico Rocks",18.186,-87.83305,1038,1931,0,0,77,238,0,0,14396,32530,"2021",15511,NA,1.6
"BZ2027",NA,16.2472,-88.176,430,491,60,154,0,0,0,0,186,262,"2018",676,NA,9.1
"BZ2027B",NA,16.24728,-88.17989,267,629,49,156,0,0,0,0,0,0,"2021",316,NA,8
"BZ2054","Caye Glory",17.0975,-88.0077,2007.583412898,1194.5486198621,117.85748376615,299.41985323264,0,0,0,0,734.54639269073,874.10933928904,"2023",2859.98728935488,"Barrier",NA
"BZ2061","Lighthouse",17.2574,-87.572,208,479,32,62,132,169,220,645,312,395,"2018",904,NA,6.1
"BZ2066","Lighthouse",17.3097,-87.584,943,1911,814,1835,742,959,330,1043,560,502,"2018",3389,NA,8.9
"BZ2070","Gallows",17.4496,-88.0324,82,106,2,5,76,239,205,649,112,330,"2021",477,NA,1.4
"BZ2070","Gallows Flat",17.4496,-88.0324,2095,4283,97,181,19,43,41,129,583,765,"2018",2835,NA,8.9
"BZ2202","Lighthouse",17.129,-87.615,118,216,12,33,34,109,0,0,87,114,"2018",251,NA,0.9
"BZBCCB01","Barracuda Patch",18.16878,-87.834,740,1386,0,0,160,269,0,0,451,901,"2021",1351,NA,1.8
"BZBCCB01","Barracuda Patch",18.16878,-87.834,1122,1000,24,39,68,118,41,129,49,52,"2018",1304,NA,5.5
"BZCGMF","Caye Glory",17.0853,-87.9878,529.96250194515,484.32933286169,126.25605791908,297.16561595565,9.7963896155649,6.92709352831142,0,0,860.10270946276,1216.1559048732,"2023",1526.11765894255,"Barrier",NA
"BZHCCD01","BZHCCD01",17.8684,-87.9722,453.84882568351,586.93789950821,8.3985741529233,25.19572245877,120.33908560211,85.0925834710404,0,0,370.78808388276,469.15859766992,"2023",953.374569321303,"Barrier",NA
"BZHCCD02","BZHCCD02",17.8426,-87.9794,777.86015212185,944.53812112946,20.106387243581,32.674051796571,162.97094572241,115.237860856701,0,0,1117.22264889,1279.1419476753,"2023",2078.16013397784,"Barrier",NA
"BZPHMR01","Daly Bank",16.33054,-88.34744,110,244,627,1162,0,0,0,0,348,451,"2018",1085,NA,7.9
"BZPHMR02","BZPHMR02",16.1595,-88.4102,0,0,77.060797654411,154.12159530882,83.085196466711,58.7501058378279,0,0,267.80007748025,282.94900316336,"2023",427.946071601372,"Barrier",NA
"BZPHMR02","Spanish Bank",16.15951,-88.41017,1297,2406,199,452,184,519,0,0,506,604,"2018",2186,NA,7.9
"BZPHMR03","East Snake Caye",16.20594,-88.50809,5168,5467,0,0,398,934,0,0,978,1264,"2018",6544,NA,4
