"Code","Name","Latitude","Longitude","tACANavg","tACANstd","tSCARavg","tSCARstd","YEAR","tHerbiBiomass","Reef Type","Depth"
"BZ2070","Gallows Flat",17.4496,-88.0324,1534,3423,2898,3186,"2018",4432,NA,8.9
"BZ2202","Lighthouse",17.129,-87.615,296,349,124,174,"2018",420,NA,0.9
"BZBCCB01","Barracuda Patch",18.16878,-87.834,315,291,725,693,"2018",1040,NA,5.5
"BZBCCB01","Barracuda Patch",18.16878,-87.834,358,373,3261,4410,"2021",3619,NA,1.8
"BZCGMF","Caye Glory",17.0853,-87.9878,346.11354515546,245.04421339508,3837.7288957112,6181.4756465364,"2023",4183.84244086666,"Barrier",NA
"BZHCCD01","BZHCCD01",17.8684,-87.9722,223.63595306744,222.22696813497,2840.7854298945,2034.3620178177,"2023",3064.42138296194,"Barrier",NA
"BZHCCD02","BZHCCD02",17.8426,-87.9794,635.13025028892,954.51010260717,2033.275920227,1665.9583402422,"2023",2668.40617051592,"Barrier",NA
"BZPHMR01","Daly Bank",16.33054,-88.34744,66,185,3644,4116,"2018",3710,NA,7.9
"BZPHMR02","BZPHMR02",16.1595,-88.4102,0,0,4607.7588652827,3191.9230000836,"2023",4607.7588652827,"Barrier",NA
"BZPHMR02","Spanish Bank",16.15951,-88.41017,159,270,6113,4841,"2018",6272,NA,7.9
"BZPHMR03","East Snake Caye",16.20594,-88.50809,444,594,7734,9020,"2018",8178,NA,4
"BZPHMR04","Middle Snake Caye",16.20152,-88.55112,273,547,14203,19283,"2018",14476,NA,3.5
"BZPHMR05","South Snake Caye",16.17913,-88.56444,113,267,8572,6825,"2018",8685,NA,3.3
"BZPHMR06","West Snake Caye",16.18874,-88.56981,599,871,7565,7379,"2018",8164,NA,3.8
"BZPHMR07","Bank 3",16.15346,-88.59153,150,280,849,1193,"2018",999,NA,4.9
"BZPHMR08","Bank 2",16.17936,-88.55684,1105,1435,8012,8080,"2018",9117,NA,5.3
"BZPHMR09","French Man",16.17925,-88.6364,3716,10078,8637,10603,"2018",12353,NA,2.5
"BZPHMR10","Wilson",16.22111,-88.58796,208,576,16914,19396,"2018",17122,NA,3.3
"BZSCMR","Preservation Zone",16.1506,-88.2429,1076.6255658593,2630.2738268982,8687.7452609684,8893.5733148356,"2023",9764.3708268277,"Barrier",NA
