"Name","Latitude","Longitude","Reef.Type","tCommBiomass_avg","tHerbiBiomass_avg","tCORALavg_avg","tFMAavg_avg"
"Palm Spring",18.06523,-87.87831,NA,205,634,NA,NA
"Paranga Grounding",17.3185,-88.0425,"Barrier",989.376574754042,2397.08354729376,12.166667,4.583333
"Paranga Grounding Site",17.31848,-88.0425,NA,454,4942,16.92,9.04
"Pig Sty",18.18163,-87.82744,NA,1166,1177,NA,NA
"Pompion",16.3731,-88.0892,"Barrier",3603.16231196249,2214.0492423358,7.333333,42.833333
"Preservation Zone",16.1506,-88.2429,"Barrier",936.207066467054,9764.3708268277,12,8
"R10 DFR",17.3097,-87.58365,NA,368,2111,15.83,2.17
"R11 SFR",17.25742,-87.57198,NA,536,646,17,7.17
"R13 SFR",17.22598,-87.60154,NA,525,831,12.83,40.25
"R15 DFR",17.20323,-87.54223,NA,909,2961,15.33,30.67
"R16 DFR",17.20319,-87.52493,NA,449,1642,2.67,23.17
"R17 SFR",17.20341,-87.52811,NA,319,914,5.83,0
"R18 BR",17.18617,-87.61214,NA,183,815,17.33,13.5
"R2 SFR",17.47189,-87.48732,NA,165,631,4.67,22.83
"R20 SFR",17.13101,-87.60639,NA,375,735,10.83,7.67
"R21 BR",17.13524,-87.62064,NA,462,1120,6.5,34.25
"R4 DFR",17.44595,-87.52826,NA,1105,1055,9.33,37.25
"R6 DFR",17.39226,-87.46236,NA,594,964,14.33,11.33
"R7 SFR",17.39364,-87.46348,NA,199,795,17.67,12.67
"R9 BR",17.31648,-87.53019,NA,2033,4432,6.5,17.67
"Rainbow Reef",18.08934,-87.86808,NA,159,898,NA,NA
"Ranguana",16.331,-88.1497,"Bank",1086.89747770561,3276.68353826023,15.333333,10.166667
"Rendezvous",17.2451,-88.0522,"Barrier",816.856382383267,1806.08791224013,26.5,1
"Rendezvous Caye Patch",17.24508,-88.05223,NA,654.5,4896.5,31.585,11.25
"Rise & Fall",16.0682,-88.3011,"Bank",1681.1178231873,2480.46996929544,8,28
"Robinson Point Caye",17.3568,-88.1709,"Lagoonal",749.218437377119,770.81835091571,2.333333,3.833333
"Robinson area flats",17.3524,-88.1501,"Lagoonal",2881.99836993139,1658.42909778862,14.166667,3.916667
"Rocky Point North",18.11949,-87.82177,NA,267,992,NA,NA
"Round Caye",16.4185,-88.0413,NA,4.5,1317.5,10.75,36.79
"SP-DFR",17.33406,-87.78709,NA,345,1442,20.33,33.33
"SP_DFR",17.33406,-87.78709,NA,551,1374,NA,NA
"SP_SFR",17.33352,-87.78812,NA,619,2093,NA,NA
"SP_SFR",17.3344,-87.7877,"Atoll",862.544781096284,1396.79881623313,18.333333,11.25
"SWCCZFR1",16.88466,-88.06055,NA,439,1254,27.17,48
"SWCCZFR1",16.8847,-88.0606,"Barrier",643.347719226884,1602.47166527602,22.666667,21.5
"SWCCZFR1",16.88471,-88.0567,NA,766,2550,NA,NA
"SWCCZFR2",16.8679,-88.0649,"Barrier",667.77388089202,1067.78445559343,13.666667,33.333333
"SWCCZFR2",16.86792,-88.06493,NA,478,948,24.33,41.5
"SWCCZFR2",16.86805,-88.06128,NA,576,2198,NA,NA
"SWCCZFR3",16.84966,-88.06495,NA,1932,3593,NA,NA
"SWCCZFR3",16.8499,-88.0709,"Barrier",1510.42173156946,1449.66832588079,22.333333,28.333333
"SWCCZFR3",16.84992,-88.07088,NA,1958,2203,45.83,31.17
"SWCCZFR4",16.83376,-88.06993,NA,677,1274,NA,NA
"SWCCZFR4",16.83489,-88.07456,NA,276,663,25.83,38.17
"SWCCZFR4",16.8349,-88.0746,"Barrier",1301.97080053707,1719.78879311102,17.666667,28.5
"SWCCZFR5",16.81828,-88.07736,NA,334,460,25.67,39.5
"SWCCZFR5",16.8183,-88.0774,"Barrier",502.842808253833,858.78283869779,15.5,29.5
"SWCCZFR6",16.8059,-88.07394,NA,727,2522,NA,NA
"SWCCZFR6",16.8131,-88.07774,NA,670,1453,29.5,23.5
"SWCCZFR6",16.8131,-88.0777,"Barrier",124.8646620399,1050.14928736897,14,30.333333
"SWCGUZFR1",16.91365,-88.04752,NA,1019,2541,NA,NA
"SWCGUZFR1",16.9142,-88.0499,"Barrier",1485.43499008075,1067.5128701388,17.166667,29
"SWCGUZFR1",16.91421,-88.04989,NA,1130,516,11.33,40.67
"SWCGUZFR2",16.9036,-88.0542,"Barrier",734.025877735342,1101.82881353833,14.166667,24.166667
"SWCGUZFR2",16.90361,-88.05419,NA,655,1372,20.83,35.5
"SWCGUZFR2",16.90474,-88.05085,NA,1207,2130,NA,NA
"SWCGUZFR3",16.78895,-88.07572,NA,347,1914,22.67,32.67
"SWCGUZFR3",16.789,-88.0757,"Barrier",426.669506982316,1632.94913461115,12.666667,21.5
"SWCGUZFR3",16.78907,-88.07335,NA,329,2369,NA,NA
"SWCGUZFR4",16.77758,-88.07501,NA,279,444,10,38
"SWCGUZFR4",16.7776,-88.075,"Barrier",970.36853986861,1037.30590886772,17.166667,19.833333
"SWCGUZFR4",16.77826,-88.07259,NA,1105,1831,NA,NA
"SWCGUZFR5",16.76353,-88.07192,NA,1322,3542,NA,NA
"SWCGUZFR5",16.76858,-88.07501,NA,887,985,38,35.5
"SWCGUZFR5",16.7686,-88.075,"Barrier",477.998215111232,553.65022086271,13.166667,22.833333
"SWCGUZFR6",16.75225,-88.07146,NA,741,4893,NA,NA
"SWCGUZFR6",16.76079,-88.07356,NA,1182,2217,27.67,22
"SWCGUZFR6",16.7608,-88.0736,"Barrier",470.766661195613,418.76270227295,16.5,18
"Sandbore SPAG site",17.4303,-87.45177,NA,614,2145,23,16.08
"Seal Caye",16.1237,-88.3787,"Barrier",982.21158550997,8892.8014956871,15.833333,17.666667
"Sianora Dive Site",17.19558,-87.9318,NA,1252,2115,9.83,6
"Soldier Point",17.3341,-87.7871,"Atoll",115.718093607141,948.15652225766,13.416667,23.75
"South Point Wreck Site",17.15318,-87.59994,NA,1588,1147,19.83,3.17
"South Snake Caye",16.17913,-88.56444,NA,12447,8685,NA,NA
